country,continent,region,pdi,idv,mas,uai,lto,ivr,1990,1990_male,1990_female,1995,1995_male,1995_female,2000,2000_male,2000_female,2005,2005_male,2005_female,2010,2010_male,2010_female,2015,2015_male,2015_female,2020,2020_male,2020_female,2024,2024_male,2024_female
Ecuador,Latin America and the Caribbean,Central America,78,24,63,67,24.0,68.5,139204,145626,150585,144415,358874,332142,721560,747749,69881,73220,75880,72581,180197,163244,351009,361486,69323,72406,74705,71834,178677,168898,370551,386263
Paraguay,Latin America and the Caribbean,Central America,70,12,40,85,20.0,56.0,195884,186570,176608,168243,160299,156462,169567,180837,102816,97869,92052,87698,83394,81303,88311,94180,93068,88701,84556,80545,76905,75159,81256,86657
Peru,Latin America and the Caribbean,Central America,64,20,42,87,5.0,46.0,48985,56831,66103,77195,102662,152562,1184762,1837219,24140,28019,32684,38360,51423,77554,547812,848513,24845,28812,33419,38835,51239,75008,636950,988706
Suriname,Latin America and the Caribbean,Central America,85,47,37,92,18.5,68.5,18083,22320,27506,33662,39713,43127,47801,51902,9767,12091,14938,18338,21658,23544,26271,28525,8316,10229,12568,15324,18055,19583,21530,23377
Uruguay,Latin America and the Caribbean,Central America,61,60,38,98,28.0,53.0,98116,93428,88874,82317,76303,78799,108267,160064,45830,43427,41095,37658,34535,35642,50937,75989,52286,50001,47779,44659,41768,43157,57330,84075
Venezuela,Latin America and the Caribbean,Central America,81,26,73,76,0.0,100.0,1025009,1019996,1013738,1076474,1347347,1404448,1324193,1263304,517579,513473,508682,538197,676261,703458,652823,622805,507430,506523,505056,538277,671086,700990,671370,640499
Canada,Northern America,Northern America,39,72,52,48,54.0,68.0,4251056,4853738,5525404,6086976,7035001,8049874,8332892,8805839,2085083,2352856,2665735,2918018,3367095,3854647,3969673,4170595,2165973,2500882,2859669,3168958,3667906,4195227,4363219,4635244
United States of America,Northern America,Northern America,40,60,62,46,50.0,68.0,23266147,28525723,34806848,39545828,43947211,47942986,50471028,52375047,11386092,13995947,17206724,19787854,21607962,23319081,24488884,25624986,11880055,14529776,17600124,19757974,22339249,24623905,25982144,26750061
Australia,Oceania,Oceania,38,73,61,51,56.0,71.0,3991501,4215646,4389847,4880921,5879802,6733056,7604850,8111404,2033003,2123962,2191461,2420114,2920447,3307254,3709985,3943714,1958498,2091684,2198386,2460807,2959355,3425802,3894865,4167690
New Zealand,Oceania,Oceania,22,69,58,49,55.0,75.0,526369,594911,685966,855017,956982,1132201,1343900,1467989,262414,291996,333140,415031,463503,552146,659803,720731,263955,302915,352826,439986,493479,580055,684097,747258
Fiji,Oceania,Melanesia,78,14,46,48,55.5,73.0,13283,13001,12719,12434,13357,13751,14087,14362,6847,6726,6601,6563,7143,7421,7601,7749,6436,6275,6118,5871,6214,6330,6486,6613
