"country","continent","region","1990","1990_male","1990_female","1995","1995_male","1995_female","2000","2000_male","2000_female","2005","2005_male","2005_female","2010","2010_male","2010_female","2015","2015_male","2015_female","2020","2020_male","2020_female","2024","2024_male","2024_female"
"Jordan","ASIA","Western Asia","1131529","1511664","1834160","2229368","3723368","4386976","4940142","5280168","655623","848804","1011921","1221863","2047423","2449395","2754916","2942359","475906","662860","822239","1007505","1675945","1937581","2185226","2337809"
"Kuwait","ASIA","Western Asia","1056143","935152","1116932","1353949","1871827","2610785","3030731","3323191","647863","596039","726412","887838","1138763","1642376","1999895","2194374","408280","339113","390520","466111","733064","968409","1030836","1128817"
"Lebanon","ASIA","Western Asia","424488","466437","514836","553850","625884","1763717","1586346","1422583","236545","262964","300656","335523","398439","878725","810758","720891","187943","203473","214180","218327","227445","884992","775588","701692"
"Oman","ASIA","Western Asia","526784","538639","550760","608416","803387","1827972","1766142","2283366","434951","417103","409325","451100","612931","1515096","1405065","1831573","91833","121536","141435","157316","190456","312876","361077","451793"
"Qatar","ASIA","Western Asia","215508","307661","439215","643000","1409000","2090000","2182000","2337000","150223","214459","308660","515000","1141000","1692000","1694000","1807000","65285","93202","130555","128000","268000","398000","488000","530000"
"Saudi Arabia","ASIA","Western Asia","4484868","4853489","5219382","6605114","8976961","13251622","13071258","13683841","2950373","3371650","3491478","4586943","6375143","10068911","9905596","10637190","1534495","1481839","1727904","2018171","2601818","3182711","3165662","3046651"
"State of Palestine","ASIA","Western Asia","288332","281767","275202","274520","273840","273163","272784","272481","132101","128328","124555","124608","124660","124710","124737","124599","156231","153439","150647","149912","149180","148453","148047","147882"
"Syrian Arab Republic","ASIA","Western Asia","714140","830610","834916","882398","1783595","835716","868711","896042","364077","423115","427981","452524","910982","426967","432279","445879","350063","407495","406935","429874","872613","408749","436432","450163"
"Türkiye","ASIA","Western Asia","1159415","1220898","1279019","1345188","1420433","3750982","6580295","7083501","576098","596917","615830","638502","666516","1999644","3393365","3519766","583317","623981","663189","706686","753917","1751338","3186930","3563735"
"United Arab Emirates","ASIA","Western Asia","1302298","1795514","2373577","3218730","5446000","6859000","7184000","8157000","920866","1287916","1712763","2341003","3746000","4642000","4860000","5491000","381432","507598","660814","877727","1700000","2217000","2324000","2666000"
"Yemen","ASIA","Western Asia","118863","136515","144940","171871","288394","379882","387113","392997","67010","77832","80514","98879","156123","199390","223512","226909","51853","58683","64426","72992","132271","180492","163601","166088"
"Belarus","EUROPE","Eastern Europe","1248977","1186282","1123586","1106982","1090378","1082905","1067090","1054604","572021","543307","514593","506988","499384","495961","488713","482995","676956","642975","608993","599994","590994","586944","578377","571609"
"Bulgaria","EUROPE","Eastern Europe","21510","32435","43360","61074","76287","123803","184363","299100","9047","13642","18238","26594","33841","60058","91585","141530","12463","18793","25122","34480","42446","63745","92778","157570"
"Czechia","EUROPE","Eastern Europe","442428","531039","639018","670689","692197","688047","680221","1025199","197025","245352","307034","333861","356502","354404","348725","500157","245403","285687","331984","336828","335695","333643","331496","525042"
"Hungary","EUROPE","Eastern Europe","347510","322234","296957","366787","436616","475508","584567","689565","156185","147202","138219","174216","210212","235719","303065","357501","191325","175032","158738","192571","226404","239789","281502","332064"
"Poland","EUROPE","Eastern Europe","1127393","963028","822627","724887","649114","683663","738099","1739901","466953","393886","334462","294950","265808","288687","334071","705193","660440","569142","488165","429937","383306","394976","404028","1034708"
"Republic of Moldova*","EUROPE","Eastern Europe","533397","365099","250134","174263","132386","101730","77291","188207","232099","152304","100422","69025","52562","40778","31135","78012","301298","212795","149712","105238","79824","60952","46156","110195"
"Romania","EUROPE","Eastern Europe","135745","134970","134204","139430","148107","212560","338734","655579","58846","60597","63248","68001","74214","108131","174220","328864","76899","74373","70956","71429","73893","104429","164514","326715"
"Russian Federation","EUROPE","Eastern Europe","11524948","11928927","11900297","11667588","11199727","9098229","7297611","7605774","5655422","5925452","5982851","5806597","5515763","4476163","3590691","3743704","5869526","6003475","5917446","5860991","5683964","4622066","3706920","3862070"
"Slovakia","EUROPE","Eastern Europe","41295","69323","116376","130491","146319","177624","197161","323991","18187","30531","51253","58716","66938","89011","100551","124906","23108","38792","65123","71775","79381","88613","96610","199085"
"Ukraine*","EUROPE","Eastern Europe","6892920","6172338","5527087","5050302","4818767","4915142","4997387","5064173","2953603","2644845","2368364","2168060","2072474","2113924","2149298","2178022","3939317","3527493","3158723","2882242","2746293","2801218","2848089","2886151"
"Channel Islands*","EUROPE","Northern Europe","61660","60519","64301","70941","77581","82307","84087","85539","29005","28468","30234","33611","36982","39338","40190","40884","32655","32051","34067","37330","40599","42969","43897","44655"
"Denmark*","EUROPE","Northern Europe","235918","298278","372128","423167","509751","616741","718856","847475","114866","145591","180540","203588","246127","303282","354048","415797","121052","152687","191588","219579","263624","313459","364808","431678"
"Estonia","EUROPE","Northern Europe","381997","315755","249512","233701","217890","194664","199277","203046","171691","136268","100844","94244","87644","80024","86767","88408","210306","179487","148668","139457","130246","114640","112510","114638"
"Faroe Islands*","EUROPE","Northern Europe","4285","2900","3593","4583","5096","5485","6812","8101","2440","1575","1921","2450","2700","2783","3542","4212","1845","1325","1672","2133","2396","2702","3270","3889"
"Finland*","EUROPE","Northern Europe","63255","99729","136203","192169","228481","314856","386052","514432","31682","49575","67469","96429","115105","159315","198822","261465","31573","50154","68734","95740","113376","155541","187230","252967"
"Iceland","EUROPE","Northern Europe","9584","12738","15892","25492","35091","39072","65424","98818","4248","5727","7207","12413","17619","19070","35716","53946","5336","7011","8685","13079","17472","20002","29708","44872"
"Ireland","EUROPE","Northern Europe","227783","247379","376321","620579","751381","802470","951686","1216237","110538","119141","185815","321411","375846","394569","466849","584589","117245","128238","190506","299168","375535","407901","484837","631648"
"Isle of Man*","EUROPE","Northern Europe","34769","36886","39002","41475","43447","42238","43040","43693","16371","17548","18725","20214","21361","20596","20987","21305","18398","19338","20277","21261","22086","21642","22053","22388"
"Latvia","EUROPE","Northern Europe","646007","538093","430178","376725","313786","265418","239422","220471","290800","234216","177632","154745","124675","104011","97022","89342","355207","303877","252546","221980","189111","161407","142400","131129"
"Lithuania","EUROPE","Northern Europe","349258","273587","214311","201209","160772","136021","145184","175194","164585","128641","100546","94189","69606","57508","73148","92800","184673","144946","113765","107020","91166","78513","72036","82394"
"Norway*","EUROPE","Northern Europe","192587","233302","292440","361144","524601","746375","852238","1012404","99562","117222","144826","176444","267235","389370","439206","506707","93025","116080","147614","184700","257366","357005","413032","505697"
"Sweden","EUROPE","Northern Europe","784283","944802","1022156","1126971","1372074","1638195","2033902","2272158","380975","459807","497818","547615","666972","795632","987817","1089525","403308","484995","524338","579356","705102","842563","1046085","1182633"
"United Kingdom*","EUROPE","Northern Europe","3664896","4173053","4747902","5989992","7713303","9071431","10520870","11845479","1760942","1986267","2235493","2849988","3721890","4478604","5319314","6101679","1903954","2186786","2512409","3140004","3991413","4592827","5201556","5743800"
"Albania","EUROPE","Southern Europe","66013","71354","76695","64739","52784","52031","48810","46377","30579","33284","35990","32993","26901","26517","24908","23667","35434","38070","40705","31746","25883","25514","23902","22710"
"Andorra","EUROPE","Southern Europe","38891","44206","42147","50298","52053","42264","45574","48408","20990","23588","22093","26466","27287","21485","23333","24784","17901","20618","20054","23832","24766","20779","22241","23624"
"Bosnia and Herzegovina","EUROPE","Southern Europe","56000","69476","82952","47287","38945","38597","36042","34120","26538","33115","39691","22481","18581","18412","16880","15980","29462","36361","43261","24806","20364","20185","19162","18140"
"Croatia","EUROPE","Southern Europe","475438","674085","585298","579273","573248","561093","528056","527831","222531","315733","274823","271645","268466","260473","245564","239311","252907","358352","310475","307628","304782","300620","282492","288520"
"Gibraltar*","EUROPE","Southern Europe","8709","8381","8054","9211","10369","11065","11190","11291","4528","4196","3865","4518","5171","5591","5656","5707","4181","4185","4189","4693","5198","5474","5534","5584"
"Greece","EUROPE","Southern Europe","618139","857850","1111665","1190707","1321149","1242924","1340456","1423964","330038","445004","559794","587677","640731","570529","642639","682674","288101","412846","551871","603030","680418","672395","697817","741290"
"Holy See*","EUROPE","Southern Europe","726","705","691","659","621","572","528","496","352","344","333","315","298","274","253","237","374","361","358","344","323","298","275","259"
"Italy","EUROPE","Southern Europe","1529367","1810642","2143259","3285903","4719233","5506199","6223851","6553671","671684","811202","982944","1538889","2136841","2486229","2893857","3037046","857683","999440","1160315","1747014","2582392","3019970","3329994","3516625"
"Malta","EUROPE","Southern Europe","15077","17740","21521","24560","33008","52642","114760","199466","7012","8366","10289","11899","17118","28332","66055","114811","8065","9374","11232","12661","15890","24310","48705","84655"
